"id","name","stars","created_at","language","description"
9402340,"vector_math.dart","unknown","2013-04-12T19:46:07Z","Dart","vector_math"
9534479,"developer.github.com","unknown","2013-04-18T23:56:48Z","Ruby","GitHub API documentation"
9706828,"latency-benchmark","unknown","2013-04-27T00:45:42Z","C","Tests web browser input latency and jank"
9916887,"google-api-cpp-client","unknown","2013-05-07T16:55:36Z","C++","The core C++ SK for using Google APIs"
9922054,"gwtmockito","unknown","2013-05-07T21:27:35Z","Java","Better GWT unit testing"
9922058,"gwteventbinder","unknown","2013-05-07T21:27:59Z","Java","Making GWT EventBus easy"
10070738,"lisp-koans","unknown","2013-05-15T04:07:12Z","Common Lisp","Common Lisp Koans is a language learning exercise in the same vein as the ruby koans, python koans and others.   It is a port of the prior koans with some modifications to highlight lisp-specific features.  Structured as ordered groups of broken unit tests, the project guides the learner progressively through many Common Lisp language features. "
10150370,"concatenate.js","unknown","2013-05-19T03:15:40Z","JavaScript","unknown"
10223486,"dart-collab","unknown","2013-05-22T15:40:25Z","Dart","An operational transform library for Dart"
10230369,"auto","unknown","2013-05-22T21:41:56Z","Java","A collection of source code generators for Java."
10270722,"go-github","unknown","2013-05-24T16:42:58Z","Go","Go library for accessing the GitHub API"
10748834,"streamy-dart","unknown","2013-06-17T22:31:11Z","Dart","unknown"
10753472,"prerender-test","unknown","2013-06-18T04:03:35Z","JavaScript","unknown"
10808002,"google-api-ruby-client-samples","unknown","2013-06-19T23:07:43Z","Ruby","Samples for the Google API Ruby Client"
10831778,"pinject","unknown","2013-06-20T23:46:50Z","Python","A pythonic dependency injection library."
10950012,"html-quiz","unknown","2013-06-25T20:53:06Z","JavaScript","A stand-alone, HTML+JavaScript quiz script."
11032401,"safevarargs","unknown","2013-06-28T17:06:28Z","unknown","unknown"
11293574,"paco","unknown","2013-07-09T20:38:11Z","Objective-C","The Paco behavioral science mobile research platform"
11294474,"uri.dart","unknown","2013-07-09T21:15:44Z","Dart","Utilities for working with URIs in Dart"
11430627,"ansicolor-dart","unknown","2013-07-15T18:44:24Z","Dart","unknown"
11486592,"data-layer-helper","unknown","2013-07-17T20:20:30Z","JavaScript","JavaScript library for working with dataLayer message queues."
11507786,"carfac","unknown","2013-07-18T16:28:12Z","Matlab","Cascade of Asymmetric Resonators with Fast-Acting Compression cochlear model."
11518825,"dpy","unknown","2013-07-19T02:51:39Z","Python","Python Inversion of Control (AKA Dependency Injection!)"
11595141,"webdriver.dart","unknown","2013-07-22T23:48:29Z","Dart","Dart WebDriver client"
11641524,"mockable_filesystem.dart","unknown","2013-07-24T18:04:00Z","Dart","Utility library that can be used to write code that can in turn be tested with mocked files and directories."
11666488,"dart-gif-encoder","unknown","2013-07-25T17:20:24Z","Dart","unknown"
11822259,"bochspwn","unknown","2013-08-01T16:48:38Z","C++","A Bochs-based instrumentation project designed to log kernel memory references, to identify ""double fetches"" and other OS vulnerabilities"
11850014,"gumbo-parser","unknown","2013-08-02T18:33:38Z","HTML","An HTML5 parsing library in pure C99"
12117219,"quiver-dart","unknown","2013-08-14T19:13:01Z","Dart","A set of utility libraries for Dart"
12166778,"google-api-php-client","unknown","2013-08-16T19:48:39Z","PHP","A PHP client library for accessing Google APIs"
12169108,"closure-library","unknown","2013-08-16T21:54:05Z","JavaScript","Google's common JavaScript library"
12250505,"patchfield","unknown","2013-08-20T18:19:13Z","Java","Audio infrastructure for Android"
12277623,"perf_api.dart","unknown","2013-08-21T18:10:29Z","Dart","unknown"
12301534,"dart-sync-socket","unknown","2013-08-22T16:06:15Z","Dart","A Dart VM Native Extension and supporting Dart libraries that provide synchronous socket and HTTP client support."
12390121,"compile-testing","unknown","2013-08-26T21:30:13Z","Java","Testing tools for javac and annotation processors"
12599853,"network-mapper","unknown","2013-09-04T19:15:15Z","Python","unknown"
12620964,"pixelcycle-sample-app","unknown","2013-09-05T15:13:06Z","Dart","unknown"
12717298,"wiberg-minimization","unknown","2013-09-10T01:33:08Z","unknown","unknown"
12733006,"memcache-collections","unknown","2013-09-10T15:15:09Z","Python","Concurrent, distributed data structures on top of memcache"
12738417,"go-querystring","unknown","2013-09-10T19:26:51Z","Go","go-querystring is Go library for encoding structs into URL query parameters."
12765026,"tiff","unknown","2013-09-11T19:05:45Z","Go","Go package for working with the file structure of a TIFF."
12769396,"beta-binomial-fitting","unknown","2013-09-11T22:29:41Z","unknown","unknown"
12769998,"dart-sync-webdriver","unknown","2013-09-11T23:03:16Z","Dart","WebDriver API for Dart"
12872299,"lmctfy","unknown","2013-09-16T16:28:53Z","C++","lmctfy is the open source version of Google’s container stack, which provides Linux application containers."
12873172,"open-gantry","unknown","2013-09-16T17:08:46Z","CSS","unknown"
12875229,"tsviewdb","unknown","2013-09-16T18:35:45Z","JavaScript","High-performance storage and graphing web service for time-series of time-series."
12908319,"vpn-reverse-tether","unknown","2013-09-17T22:26:12Z","C","VPN-based USB ""reverse tether"""
12929998,"gfw-deployments","unknown","2013-09-18T17:44:34Z","Python","Scripts and tools created by the Google For Work Team. (Contributions Encouraged!)"
13219093,"pepper.js","unknown","2013-09-30T15:24:47Z","JavaScript","Pepper applications as Native Client or JavaScript"
13248841,"grinder.dart","unknown","2013-10-01T16:14:32Z","Dart","Dart workflows, automated."
13282401,"zimu","unknown","2013-10-02T20:45:17Z","C","unknown"
13287485,"self-hosted-rss-to-email","unknown","2013-10-03T01:14:22Z","Go","unknown"
13300800,"capsicum-linux","unknown","2013-10-03T14:41:35Z","C","Linux kernel with Capsicum support"
13300808,"capsicum-test","unknown","2013-10-03T14:41:46Z","C++","Test suite for Capsicum"
13394036,"url_diff","unknown","2013-10-07T19:51:48Z","Python","unknown"
13745124,"jimfs","unknown","2013-10-21T14:39:27Z","Java","An in-memory file system for Java 7+"
13837998,"appengine_xblock_runtime","unknown","2013-10-24T16:39:30Z","Python","unknown"
13872231,"blockly","unknown","2013-10-25T21:13:33Z","JavaScript","The web-based visual programming editor."
14003152,"gfw-toolkit","unknown","2013-10-30T23:57:06Z","Python","Enterprise command-line scripts and samples for Google Apps Admin SDK."
14211300,"libkml","unknown","2013-11-07T17:56:39Z","C++","Reference implementation of OGC KML 2.2"
14211357,"coursebuilder_xblock_module","unknown","2013-11-07T17:58:50Z","Python","unknown"
14211461,"oauth2client","unknown","2013-11-07T18:03:04Z","Python","This is a Python library for accessing resources protected by OAuth 2.0."
14311172,"gae-channel-api.dart","unknown","2013-11-11T19:43:54Z","Dart","App Engine Channel API for Dart"
14354645,"container-rfc","unknown","2013-11-13T05:13:40Z","unknown","An RFC for a standard container format"
14725230,"liquidfun","unknown","2013-11-26T18:20:10Z","C++","2D physics engine for games"
14908550,"pytypedecl","unknown","2013-12-03T23:11:13Z","Python","unknown"
14909673,"grr","unknown","2013-12-04T00:17:53Z","Python","GRR Rapid Response: remote live forensics for incident response"
14967014,"vim-maktaba","unknown","2013-12-05T21:59:43Z","Vim script","Consistent Vimscript"
14996142,"vim-glaive","unknown","2013-12-06T23:28:52Z","Vim script","unknown"
15122806,"benchmark","unknown","2013-12-12T00:10:48Z","C++","A microbenchmark support library"
15144758,"angular_node_bind.dart","unknown","2013-12-12T19:03:57Z","Dart","Utilities to allow Angular templates to use Node.bind()"
15319507,"grafika","unknown","2013-12-19T18:36:53Z","Java","Grafika test app"
15690069,"wheelbarrow","unknown","2014-01-06T23:50:14Z","Python","unknown"
15749269,"google-api-python-client","unknown","2014-01-08T21:55:56Z","Python","<f0><U+009F><U+0090><U+008D> The official Python client library for Google's discovery based APIs."
15773229,"skia","unknown","2014-01-09T17:09:57Z","C++","Skia is a complete 2D graphic library for drawing Text, Geometries, and Images."
15773235,"skia-buildbot","unknown","2014-01-09T17:10:17Z","Go","Build, Test, and Analysis Tools for Skia Infrastructure"
15812091,"instant-hangouts","unknown","2014-01-10T22:46:57Z","JavaScript","Easily add Google+ Hangouts to any web page."
16109108,"extra-keyboards-for-chrome-os","unknown","2014-01-21T16:38:51Z","JavaScript","Extra keyboard layouts and input methods for Chrome OS"
16109825,"gipfeli","unknown","2014-01-21T16:58:45Z","C++","unknown"
16186893,"favcolor-server","unknown","2014-01-23T21:53:23Z","Ruby","unknown"
16186923,"favcolor-android","unknown","2014-01-23T21:54:20Z","Java","unknown"
16186934,"favcolor-ios","unknown","2014-01-23T21:54:45Z","unknown","unknown"
16319081,"systemjs","unknown","2014-01-28T17:13:29Z","JavaScript","A minimal System loader"
16386421,"radioreceiver","unknown","2014-01-30T18:28:13Z","JavaScript","An application to listen to broadcast stereo FM and AM radio from your Chrome browser or your ChromeBook computer using a $15 USB digital TV tuner."
16389681,"j2objc","unknown","2014-01-30T20:19:56Z","Java","A Java to iOS Objective-C translation tool and runtime."
16485700,"pygtrie","unknown","2014-02-03T16:51:11Z","Python","Python library implementing a trie data structure."
16525884,"course-builder","unknown","2014-02-04T21:17:04Z","unknown","unknown"
16701879,"page-timer","unknown","2014-02-10T16:46:28Z","JavaScript","A personal time-tracking Chrome extension"
16787414,"sre_yield","unknown","2014-02-13T00:53:19Z","Python","Python module to generate regular all expression matches"
16852812,"dart-tagtree","unknown","2014-02-14T23:51:30Z","Dart","A React-like UI framework in Dart"
16992924,"oss-bench","unknown","2014-02-19T17:44:24Z","unknown","unknown"
16993072,"FakeMaker","unknown","2014-02-19T17:49:51Z","JavaScript","Devtool ext. to create DOM 'fake' for JS benchmarks "
17029490,"grr-doc","unknown","2014-02-20T17:46:08Z","Python","Documentation for the GRR Rapid Reponse framework"
17068340,"Refaster","unknown","2014-02-21T20:14:01Z","Java","unknown"
17150568,"vroom","unknown","2014-02-24T21:00:11Z","Python","Launch vim tests"
17381605,"snappy","unknown","2014-03-03T21:58:09Z","C++","A fast compressor/decompressor"
17602058,"favcolor-findidp","unknown","2014-03-10T17:43:03Z","unknown","unknown"
17761876,"googleapps-password-generator","unknown","2014-03-14T22:07:26Z","unknown","unknown"
17838258,"vim-ft-vroom","unknown","2014-03-17T18:12:17Z","VimL","unknown"
17838265,"vimdoc","unknown","2014-03-17T18:12:29Z","Python","Helpfile generation for vim "
17842819,"googleapps-message-recall","unknown","2014-03-17T20:47:29Z","Python","unknown"
18143180,"YouCompleteSubl","unknown","2014-03-26T15:31:07Z","unknown","unknown"
18143466,"palette.js","unknown","2014-03-26T15:39:13Z","JavaScript","Script for generating colour palettes for use with graphs, charts and cartography."
18144573,"pyringe","unknown","2014-03-26T16:13:48Z","Python","Debugger capable of attaching to and injecting code into python processes."
18145721,"quiver-log","unknown","2014-03-26T16:49:30Z","Dart","Logging utility for dart modeled on log4j/logback"
18347398,"autofdo","unknown","2014-04-01T22:37:47Z","C++","AutoFDO"
18347476,"iosched","unknown","2014-04-01T22:40:40Z","Kotlin","The Google I/O 2018 Android App"
18458047,"souper","unknown","2014-04-05T02:09:09Z","C++","A superoptimizer for LLVM IR"
18511024,"web-starter-kit","unknown","2014-04-07T08:45:18Z","HTML","Web Starter Kit - a workflow for multi-device websites"
18605981,"realtime-help","unknown","2014-04-09T17:17:08Z","Python","unknown"
18845024,"closure-compiler","unknown","2014-04-16T15:30:36Z","Java","A JavaScript checker and optimizer."
18845068,"closure-templates","unknown","2014-04-16T15:31:58Z","Java","A client- and server-side templating system that helps you dynamically build reusable HTML and UI elements"
18851049,"gdal-autotest2","unknown","2014-04-16T18:33:53Z","unknown","unknown"
19000603,"shaka-packager","unknown","2014-04-21T17:34:50Z","C++","A media packaging and development framework for VOD and Live DASH and HLS applications, supporting Common Encryption for Widevine and other DRM Systems."
19086133,"ohmu","unknown","2014-04-23T21:23:50Z","C++","Compiler intermediate language for static analysis."
19086150,"lab_device_proxy","unknown","2014-04-23T21:24:23Z","Python","Executes adb and idevice commands on a remote host."
19249835,"WebFundamentals","unknown","2014-04-28T18:45:45Z","HTML","Best practices for modern web development"
19249911,"canvas-5-polyfill","unknown","2014-04-28T18:48:20Z","JavaScript","HTML 5 Canvas Polyfill"
19253501,"closure-stylesheets","unknown","2014-04-28T20:51:38Z","Java","A CSS+ transpiler that lints, optimizes, and I18n-izes"
19507904,"heartbleed-burp-extension","unknown","2014-05-06T19:33:34Z","Java","unknown"
19615989,"capsicum-man-pages","unknown","2014-05-09T15:34:05Z","Groff","Man page updates for Capsicum on Linux"
19716755,"jsaction","unknown","2014-05-12T21:53:24Z","JavaScript","JsAction is a small event delegation library that decouples event binding from the code that can handle the event."
19826356,"gtest-parallel","unknown","2014-05-15T16:13:51Z","Python","Run Google Test suites in parallel."
19864741,"rekall","unknown","2014-05-16T17:22:51Z","Python","Rekall Memory Forensic Framework"
19864936,"photo-sphere","unknown","2014-05-16T17:29:39Z","unknown","unknown"
19953044,"flatbuffers","unknown","2014-05-19T18:33:01Z","C++","Memory Efficient Serialization Library"
19979068,"rekall-profiles","unknown","2014-05-20T11:57:48Z","HTML","Public Profile Repository for Rekall Memory Forensic."
19989605,"certificate-transparency","unknown","2014-05-20T17:03:47Z","C++","Auditing for TLS certificates."
20069953,"certificate-transparency-rfcs","unknown","2014-05-22T17:15:59Z","Python","Certificate Transparency RFC"
20069983,"ct-hackday-schwag","unknown","2014-05-22T17:16:56Z","Go","May 7th, 2014 Certificate Transparency Hack Day "
20077211,"libpam-policycache","unknown","2014-05-22T21:14:25Z","C","Password caching module with advanced policies for PAM."
20227700,"libnss-cache","unknown","2014-05-27T16:55:16Z","C","a NSS module for reading directory service information for Linux hosts from an indexed, local disk cache"
20227767,"nsscache","unknown","2014-05-27T16:57:00Z","Python","asynchronously synchronise local NSS databases with remote directory services"
20227789,"cronutils","unknown","2014-05-27T16:57:31Z","C","utilities to assist running batch processing jobs"
20239198,"mtail","unknown","2014-05-27T23:46:16Z","Go","extract whitebox monitoring data from application logs for collection in a timeseries database"
20275545,"guice","unknown","2014-05-28T23:18:53Z","Java","Guice (pronounced 'juice') is a lightweight dependency injection framework for Java 6 and above, brought to you by Google."
20300177,"guava","unknown","2014-05-29T16:23:17Z","Java","Google core libraries for Java"
20457928,"kasan","unknown","2014-06-03T20:15:33Z","C","KernelAddressSanitizer, a fast memory error detector for the Linux kernel"
20570214,"tink","unknown","2014-06-06T16:21:09Z","Java","Tink is a multi-language, cross-platform library that provides cryptographic APIs that are secure, easy to use correctly, and hard(er) to misuse."
20580961,"LiquidFunPaint","unknown","2014-06-06T23:20:56Z","Java","unknown"
20581500,"u2f-ref-code","unknown","2014-06-06T23:56:59Z","JavaScript","U2F reference implementations"
20653934,"cadvisor","unknown","2014-06-09T16:36:33Z","Go","Analyzes resource usage and performance characteristics of running containers."
20786099,"deepboost","unknown","2014-06-12T23:27:39Z","C++","unknown"
20818126,"ExoPlayer","unknown","2014-06-13T21:19:18Z","Java","An extensible media player for Android"
20900043,"fruit","unknown","2014-06-16T20:43:26Z","C++","Fruit, a dependency injection framework for C++"
20902835,"chrome-language-immersion","unknown","2014-06-16T22:27:37Z","JavaScript","Experience a new language while you browse the web."
21009909,"timesketch","unknown","2014-06-19T17:49:45Z","Python","Collaborative forensic timeline analysis"
21009988,"domaintest","unknown","2014-06-19T17:52:23Z","Java","Domain Test service for new TLDs."
21016984,"codeworld","unknown","2014-06-19T21:56:15Z","Haskell","Educational computer programming environment using Haskell"
21041510,"xsecurelock","unknown","2014-06-20T14:55:28Z","C","X11 screen lock utility with security in mind"
21052985,"battery-historian","unknown","2014-06-20T21:28:26Z","Go","Battery Historian is a tool to analyze battery consumers using Android ""bugreport"" files."
21285080,"midi-dump-tools","unknown","2014-06-27T18:23:54Z","C","A collection of tools that dump MIDI to a variety of formats"
21285098,"pyrios","unknown","2014-06-27T18:24:37Z","Go","unknown"
21360081,"catnip","unknown","2014-06-30T17:39:13Z","Python","Catnip Sandbox"
21404763,"python-adb","unknown","2014-07-01T23:00:56Z","Python","Python ADB + Fastboot implementation"
21404821,"openrtb-doubleclick","unknown","2014-07-01T23:03:43Z","Java","Utilities for DoubleClick Ad Exchange, including OpenRTB mapping, DoubleClick cryptography, metadata and validation"
21432552,"openrtb","unknown","2014-07-02T17:05:55Z","Java","OpenRTB model for Java and other languages via protobuf; Helper OpenRTB libraries for Java including JSON serialization"
21591766,"VoltAir","unknown","2014-07-08T00:21:40Z","C++","unknown"
21662129,"jenkins-flaky-test-report","unknown","2014-07-09T17:38:30Z","unknown","unknown"
21675265,"files.dart","unknown","2014-07-10T01:46:03Z","Dart","A filesystem API with implementations for multiple environments"
21917503,"dart-emacs-plugin-unsupported","unknown","2014-07-16T21:02:21Z","Emacs Lisp","Unsupported"
21921223,"tern-closure","unknown","2014-07-16T23:03:28Z","JavaScript","A Tern plugin adding Closure support."
21959406,"NLSdata","unknown","2014-07-17T22:12:17Z","R","unknown"
21959431,"glmmplus","unknown","2014-07-17T22:12:53Z","R","unknown"
21959482,"glassbox","unknown","2014-07-17T22:14:02Z","R","unknown"
22229602,"polymer-dart-log-controller","unknown","2014-07-24T20:21:17Z","Dart","A small polymer element which lets you control the global logging configuration, and can optionally log all statements to the console."
22233423,"coursebuilder-learning-analytics","unknown","2014-07-24T22:07:17Z","unknown","unknown"
22385956,"gofountain","unknown","2014-07-29T16:00:41Z","Go","unknown"
22396761,"charted","unknown","2014-07-29T21:57:22Z","Dart","Visualization toolkit for Dart language"
22476286,"gofuzz","unknown","2014-07-31T16:21:29Z","Go","Fuzz testing for go."
22476507,"cpython-pt","unknown","2014-07-31T16:28:54Z","Python","Fork from python/cpython"
22477645,"byterun","unknown","2014-07-31T17:06:40Z","Python","A Python implementation of a Python bytecode runner"
22479136,"btree","unknown","2014-07-31T17:56:24Z","Go","unknown"
22527161,"jsonnet","unknown","2014-08-01T20:29:12Z","C++","Jsonnet - The data templating language"
22620547,"ktsan","unknown","2014-08-04T21:26:17Z","C","KernelThreadSanitizer, a fast data race detector for the Linux kernel"
22620672,"epr","unknown","2014-08-04T21:30:40Z","JavaScript","unknown"
22698501,"forcefield","unknown","2014-08-06T21:20:51Z","Gosu","Keep email out of your inbox when you're not at work."
22765467,"CausalImpact","unknown","2014-08-08T17:16:13Z","R","An R package for causal inference in time series"
22823168,"pandas","unknown","2014-08-11T01:32:06Z","unknown","Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
22883561,"web-starter-kit-extras","unknown","2014-08-12T16:00:39Z","unknown","Optional additions to Web Starter Kit"
22891528,"chromeos-filesystems","unknown","2014-08-12T20:31:22Z","JavaScript","Additional file system providers for Chrome OS"
22924989,"paramgmt","unknown","2014-08-13T17:42:32Z","Python","A parallel SSH-based remote machine management system"
22929140,"go-tpm","unknown","2014-08-13T19:53:34Z","Go","unknown"
22929729,"coursebuilder-lti-module","unknown","2014-08-13T20:12:06Z","Python","unknown"
22971886,"skicka","unknown","2014-08-14T23:28:35Z","Go","Command-line utility for working with Google Drive. Join the mailing list at https://groups.google.com/forum/#!forum/skicka-users."
22998478,"cameraraw","unknown","2014-08-15T18:08:05Z","Go","unknown"
23001786,"rct-automation","unknown","2014-08-15T20:18:10Z","C++","Radio automation software (not an official google product)"
23075262,"vim-ft-go","unknown","2014-08-18T14:56:37Z","VimL","unknown"
23080035,"macops","unknown","2014-08-18T17:28:05Z","Python","Utilities, tools, and scripts for managing and tracking a fleet of Macintoshes in a corporate environment"
23086893,"re2","unknown","2014-08-18T21:21:26Z","C++","RE2 is a fast, safe, thread-friendly alternative to backtracking regular expression engines like those used in PCRE, Perl, and Python. It is a C++ library."
23153880,"novm","unknown","2014-08-20T15:33:17Z","Go","Experimental KVM-based VMM for containers, written in Go."
23174117,"Idris-dev","unknown","2014-08-21T04:25:19Z","unknown","A Dependently Typed Functional Programming Language"
23206290,"error-prone","unknown","2014-08-21T23:26:50Z","Java","Catch common Java mistakes as compile-time errors"
23320068,"blockly-games","unknown","2014-08-25T16:09:42Z","JavaScript","Games for tomorrow's programmers."
23320130,"gjstest","unknown","2014-08-25T16:11:41Z","C++","A fast javascript unit testing framework that runs on the V8 engine."
23320304,"adb-sync","unknown","2014-08-25T16:18:51Z","Python","unknown"
23320384,"redgrep","unknown","2014-08-25T16:22:07Z","C++","<U+2665> Janusz Brzozowski"
23325230,"coursebuilder-core","unknown","2014-08-25T19:08:42Z","Python","unknown"
23325278,"coursebuilder-releases","unknown","2014-08-25T19:09:55Z","unknown","unknown"
23325297,"coursebuilder-resources","unknown","2014-08-25T19:10:28Z","Shell","unknown"
23325336,"refr","unknown","2014-08-25T19:12:09Z","C++","A framework for building reranking models."
23325376,"infact","unknown","2014-08-25T19:13:21Z","C++","Provides a lightweight interpreter and factory for dynamically creating C++ objects at runtime."
23326135,"go-glicko2","unknown","2014-08-25T19:37:10Z","unknown","unknown"
23355681,"angle","unknown","2014-08-26T14:59:07Z","C++","A conformant OpenGL ES implementation for Windows, Mac and Linux."
23356639,"gin","unknown","2014-08-26T15:25:56Z","unknown","unknown"
23401897,"hat-backup","unknown","2014-08-27T19:08:49Z","Rust","Backend-agnostic snapshotting backup system"
23402196,"python-atfork","unknown","2014-08-27T19:18:25Z","Python","unknown"
23402318,"gae-secure-scaffold-python","unknown","2014-08-27T19:21:51Z","Python","unknown"
23405758,"leveldb","unknown","2014-08-27T21:17:52Z","C++","LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values."
23406694,"error-prone-javac","unknown","2014-08-27T21:50:12Z","Java","A mirror of the OpenJDK langtools repository"
23473895,"xpaf","unknown","2014-08-29T18:38:08Z","C++","unknown"
23473942,"java-thread-sanitizer","unknown","2014-08-29T18:39:41Z","Java","unknown"
23474151,"recki-ct","unknown","2014-08-29T18:46:29Z","PHP","unknown"
23476024,"gsa-admin-toolkit","unknown","2014-08-29T19:55:01Z","Python","Tools for common Google Search Appliance (GSA) administrative tasks"
23641772,"turing-doodle","unknown","2014-09-03T23:47:44Z","JavaScript","unknown"
23641816,"sanitizers","unknown","2014-09-03T23:49:51Z","Python","AddressSanitizer, ThreadSanitizer, MemorySanitizer"
23641885,"linear-book-scanner","unknown","2014-09-03T23:52:44Z","Python","unknown"
23641899,"kv-s3105c","unknown","2014-09-03T23:53:32Z","C","unknown"
23641936,"syzygy","unknown","2014-09-03T23:55:02Z","C++","Syzygy Transformation Toolchain"
23710577,"retrofit","unknown","2014-09-05T16:45:45Z","Java","Type-safe REST client for Android and Java by Square, Inc."
23711842,"open-vcdiff","unknown","2014-09-05T17:26:03Z","C++","An encoder/decoder for the VCDIFF (RFC3284) format"
23844174,"trace-viewer","unknown","2014-09-09T17:49:03Z","unknown","unknown"
23861314,"pageloader","unknown","2014-09-10T05:01:45Z","Dart","A framework for creating page objects for in-browser or WebDriver tests."
23964065,"pull-request-mailer","unknown","2014-09-12T14:36:51Z","Haskell","Sends a GitHub pull request as a patch series via email"
23970000,"identity-toolkit-java-client","unknown","2014-09-12T17:28:10Z","Java","Google Identity Toolkit client library for Java"
23970023,"identity-toolkit-python-client","unknown","2014-09-12T17:28:53Z","Python","Google Identity Toolkit client library for Python"
23970036,"identity-toolkit-php-client","unknown","2014-09-12T17:29:22Z","PHP","Google Identity Toolkit client library for PHP"
23970049,"identity-toolkit-ruby-client","unknown","2014-09-12T17:29:43Z","Ruby","Google Identity Toolkit client library for Ruby"
24061376,"transitfeed","unknown","2014-09-15T15:16:32Z","Python","A Python library for reading, validating, and writing transit schedule information in the GTFS format."
24072967,"serialization.dart","unknown","2014-09-15T20:37:58Z","Dart","A serialization library for Dart."
24152652,"firing-range","unknown","2014-09-17T16:22:46Z","Java","unknown"
24245909,"ldpush","unknown","2014-09-19T21:22:55Z","Python","A cross-vendor network device configuration distribution tool"
24380313,"py-ast-utils","unknown","2014-09-23T16:45:54Z","Python","unknown"
24432864,"mathfu","unknown","2014-09-24T21:12:41Z","C++","C++ math library developed primarily for games focused on simplicity and efficiency."
24466697,"zarathustra","unknown","2014-09-25T16:47:01Z","Java","unknown"
24507314,"uribeacon","unknown","2014-09-26T16:44:12Z","unknown","The Web Uri Open Beacon for the Internet of Things"
24604773,"pubsubhubbub","unknown","2014-09-29T17:17:08Z","unknown","unknown"
24618531,"identity-toolkit-go-client","unknown","2014-09-30T00:40:58Z","Go","Google identity Toolkit client library for Go"
