COUNTRY,REG_NAME,PRODUCT,BRANDCODE,PRODUCTCODE,ACCESS_DATE,DATE_VAL,User_hist,User_login,REG_DATE,LAST_LOGIN,BIRTH_YEAR,,DURATION,BOUNCE,PURCHASE,USER_AGE,USER_GENDER,GENDER,USER_ID,USER_HIST,LASTLOGIN
IN,WB,AC,LG,LGAC34,11-01-2017,42746,42629,42634,16-09-2016,21-09-2016,1986,23-05-1986,404,0,1,30,0,F,NWAUCU42,117,112
IN,KL,AC,LG,LGAC34,20-01-2017,42755,42596,42705,14-08-2016,01-12-2016,1985,12-04-1985,550,0,0,31,1,M,GNFFZF74,159,50
IN,KL,Fridge,HITACHI,HITACHIFridge25,16-01-2017,42751,42652,42714,09-10-2016,10-12-2016,1992,15-10-1992,432,0,1,24,0,F,WLEARF24,99,37
IN,WB,Mobile,BLUESTAR,BLUESTARMobile41,14-01-2017,42749,42655,42725,12-10-2016,21-12-2016,1991,23-04-1991,551,0,1,25,1,M,IMKW@J99,94,24
IN,KL,WASH_MACH,HITACHI,HITACHIWASH_MACH26,02-01-2017,42737,42660,42704,17-10-2016,30-11-2016,1998,24-10-1998,157,0,0,18,1,M,IYZFEV30,77,33
IN,TN,Mobile,HITACHI,HITACHIMobile21,03-01-2017,42738,42555,42597,04-07-2016,15-08-2016,1994,26-08-1994,50,0,0,22,1,M,XTNYPC32,183,141
IN,MH,Fridge,HITACHI,HITACHIFridge25,08-01-2017,42743,42579,42656,28-07-2016,13-10-2016,1994,14-08-1994,521,0,1,22,1,M,FKFFSB28,164,87
IN,KL,AC,SAMSUNG,SAMSUNGAC14,15-01-2017,42750,42578,42696,27-07-2016,22-11-2016,1990,08-07-1990,317,0,0,26,1,M,HEKKXY79,172,54
IN,TN,MICROWAVE,HITACHI,HITACHIMICROWAVE23,17-01-2017,42752,42701,42726,27-11-2016,22-12-2016,1990,17-04-1990,509,0,0,26,0,F,TNIIVW22,51,26
IN,MH,Mobile,LG,LGMobile31,16-01-2017,42751,42660,42699,17-10-2016,25-11-2016,1992,14-09-1992,446,0,1,24,1,M,MIBC@K62,91,52
IN,MH,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,05-01-2017,42740,42545,42588,24-06-2016,06-08-2016,1981,17-07-1981,411,0,1,35,1,M,PJNFNW31,195,152
IN,MH,MICROWAVE,LG,LGMICROWAVE33,15-01-2017,42750,42577,42648,26-07-2016,05-10-2016,1986,25-08-1986,510,0,0,30,0,F,KRONWC96,173,102
IN,MH,LCD,LG,LGLCD32,11-01-2017,42746,42566,42639,15-07-2016,26-09-2016,1987,16-03-1987,554,0,0,29,0,F,NA@RHO82,180,107
IN,TN,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,14-01-2017,42749,42602,42681,20-08-2016,07-11-2016,1988,08-09-1988,337,0,1,28,1,M,EJN@@@86,147,68
IN,KL,LCD,BLUESTAR,BLUESTARLCD42,13-01-2017,42748,42723,42726,19-12-2016,22-12-2016,1997,09-08-1997,597,0,0,19,1,M,LZPBAX67,25,22
IN,MH,LCD,LG,LGLCD32,08-01-2017,42743,42637,42690,24-09-2016,16-11-2016,1994,20-06-1994,262,0,1,22,1,M,GYINMH31,106,53
IN,TL,WASH_MACH,HITACHI,HITACHIWASH_MACH26,16-01-2017,42751,42552,42554,01-07-2016,03-07-2016,1997,01-05-1997,83,0,0,19,0,F,KDTTXK86,199,197
IN,MH,Mobile,HITACHI,HITACHIMobile21,05-01-2017,42740,42703,42708,29-11-2016,04-12-2016,1997,26-10-1997,85,0,0,19,0,F,HYQIOJ73,37,32
IN,TN,Mobile,SAMSUNG,SAMSUNGMobile11,20-01-2017,42755,42687,42703,13-11-2016,29-11-2016,1990,09-03-1990,170,0,0,26,0,F,TK@T@B32,68,52
IN,KL,AC,SAMSUNG,SAMSUNGAC14,15-01-2017,42750,42555,42733,04-07-2016,29-12-2016,1984,16-06-1984,246,0,0,32,1,M,WYTDGN44,195,17
IN,KA,LCD,SAMSUNG,SAMSUNGLCD12,05-01-2017,42740,42648,42668,05-10-2016,25-10-2016,1995,21-04-1995,104,0,0,21,0,F,LJOXQW74,92,72
IN,KA,Mobile,HITACHI,HITACHIMobile21,13-01-2017,42748,42600,42702,18-08-2016,28-11-2016,1994,10-10-1994,375,0,0,22,0,F,THMCCQ22,148,46
IN,KA,MICROWAVE,HITACHI,HITACHIMICROWAVE23,04-01-2017,42739,42560,42644,09-07-2016,01-10-2016,1992,15-08-1992,516,0,1,24,0,F,DVAAKB70,179,95
IN,TN,WASH_MACH,SAMSUNG,SAMSUNGWASH_MACH16,16-01-2017,42751,42747,42748,12-01-2017,13-01-2017,1992,24-11-1992,194,0,0,24,0,F,QVUVNX27,4,3
IN,KL,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,09-01-2017,42744,42666,42675,23-10-2016,01-11-2016,1985,11-07-1985,166,0,0,31,0,F,OIRWLO94,78,69
IN,KL,Fridge,LG,LGFridge35,07-01-2017,42742,42607,42694,25-08-2016,20-11-2016,1989,02-09-1989,193,0,0,27,0,F,@COTVP24,135,48
IN,TL,AC,LG,LGAC34,17-01-2017,42752,42563,42709,12-07-2016,05-12-2016,1993,20-08-1993,41,0,0,23,0,F,OXSUS@27,189,43
IN,TL,AC,SAMSUNG,SAMSUNGAC14,10-01-2017,42745,42589,42604,07-08-2016,22-08-2016,1992,11-05-1992,489,0,1,24,0,F,LZQZHC39,156,141
IN,KL,Fridge,SAMSUNG,SAMSUNGFridge15,07-01-2017,42742,42594,42662,12-08-2016,19-10-2016,1988,08-06-1988,27,0,0,28,1,M,XJEBD@96,148,80
IN,WB,Fridge,HITACHI,HITACHIFridge25,02-01-2017,42737,42641,42649,28-09-2016,06-10-2016,1982,24-05-1982,285,0,1,34,0,F,QMDFGU38,96,88
IN,MH,MICROWAVE,HITACHI,HITACHIMICROWAVE23,14-01-2017,42749,42649,42678,06-10-2016,04-11-2016,1989,23-11-1989,494,0,0,27,1,M,BJOHMJ14,100,71
IN,MH,Fridge,LG,LGFridge35,02-01-2017,42737,42539,42583,18-06-2016,01-08-2016,1998,09-03-1998,55,0,0,18,1,M,AULVOO37,198,154
IN,KA,Mobile,BLUESTAR,BLUESTARMobile41,15-01-2017,42750,42630,42652,17-09-2016,09-10-2016,1994,22-07-1994,282,0,0,22,1,M,HPOOIE67,120,98
IN,WB,LCD,LG,LGLCD32,11-01-2017,42746,42738,42740,03-01-2017,05-01-2017,1998,11-10-1998,181,0,0,18,0,F,PWBCLO23,8,6
IN,TL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,12-01-2017,42747,42669,42691,26-10-2016,17-11-2016,1995,18-05-1995,308,0,0,21,1,M,FCKVXI26,78,56
IN,TN,LCD,SAMSUNG,SAMSUNGLCD12,06-01-2017,42741,42586,42658,04-08-2016,15-10-2016,1995,03-05-1995,580,0,1,21,0,F,IPYIKP16,155,83
IN,KA,WASH_MACH,HITACHI,HITACHIWASH_MACH26,20-01-2017,42755,42640,42654,27-09-2016,11-10-2016,1992,07-06-1992,82,0,0,24,0,F,MWQTUQ21,115,101
IN,KL,LCD,SAMSUNG,SAMSUNGLCD12,11-01-2017,42746,42653,42667,10-10-2016,24-10-2016,1983,02-11-1983,83,0,0,33,0,F,GZBBGG41,93,79
IN,KL,AC,HITACHI,HITACHIAC24,14-01-2017,42749,42651,42712,08-10-2016,08-12-2016,1988,04-05-1988,90,0,0,28,0,F,BGCPXO21,98,37
IN,WB,LCD,HITACHI,HITACHILCD22,01-01-2017,42736,42600,42624,18-08-2016,11-09-2016,1981,25-09-1981,300,0,1,35,1,M,AWYNAH37,136,112
IN,WB,Mobile,BLUESTAR,BLUESTARMobile41,19-01-2017,42754,42683,42697,09-11-2016,23-11-2016,1982,10-11-1982,320,0,0,34,1,M,MOTRTH36,71,57
IN,MH,Mobile,SAMSUNG,SAMSUNGMobile11,20-01-2017,42755,42676,42731,02-11-2016,27-12-2016,1992,08-06-1992,132,0,0,24,1,M,FPEVEO73,79,24
IN,MH,AC,HITACHI,HITACHIAC24,08-01-2017,42743,42696,42718,22-11-2016,14-12-2016,1997,26-05-1997,513,0,1,19,1,M,PJTBHH43,47,25
IN,TN,Fridge,SAMSUNG,SAMSUNGFridge15,05-01-2017,42740,42687,42691,13-11-2016,17-11-2016,1985,10-03-1985,2,1,0,31,1,M,QCVUGW70,53,49
IN,TL,WASH_MACH,HITACHI,HITACHIWASH_MACH26,14-01-2017,42749,42580,42685,29-07-2016,11-11-2016,1983,27-06-1983,91,0,0,33,0,F,XYJWZI53,169,64
IN,TL,Fridge,SAMSUNG,SAMSUNGFridge15,02-01-2017,42737,42645,42695,02-10-2016,21-11-2016,1998,26-05-1998,234,0,0,18,1,M,WANUQF24,92,42
IN,TL,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,02-01-2017,42737,42695,42702,21-11-2016,28-11-2016,1993,23-06-1993,531,0,0,23,1,M,EDTQJM61,42,35
IN,KL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,14-01-2017,42749,42738,42745,03-01-2017,10-01-2017,1983,15-09-1983,558,0,1,33,1,M,EPW@KT93,11,4
IN,TN,WASH_MACH,LG,LGWASH_MACH36,14-01-2017,42749,42725,42748,21-12-2016,13-01-2017,1984,15-08-1984,591,0,0,32,0,F,CPNZDT61,24,1
IN,TN,LCD,BLUESTAR,BLUESTARLCD42,10-01-2017,42745,42568,42710,17-07-2016,06-12-2016,1991,09-11-1991,87,0,0,25,0,F,CJVIBR61,177,35
IN,KL,Fridge,BLUESTAR,BLUESTARFridge45,07-01-2017,42742,42585,42712,03-08-2016,08-12-2016,1986,21-04-1986,141,0,0,30,0,F,QIFIWX11,157,30
IN,TL,AC,HITACHI,HITACHIAC24,04-01-2017,42739,42685,42695,11-11-2016,21-11-2016,1982,04-03-1982,463,0,1,34,1,M,IO@KOY58,54,44
IN,TL,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,15-01-2017,42750,42693,42735,19-11-2016,31-12-2016,1987,06-03-1987,312,0,0,29,1,M,NPKMGG39,57,15
IN,WB,Fridge,LG,LGFridge35,20-01-2017,42755,42673,42722,30-10-2016,18-12-2016,1984,20-07-1984,495,0,0,32,0,F,TSBCCE30,82,33
IN,TL,LCD,SAMSUNG,SAMSUNGLCD12,16-01-2017,42751,42723,42728,19-12-2016,24-12-2016,1982,03-07-1982,437,0,1,34,1,M,VOHSEA60,28,23
IN,KA,LCD,LG,LGLCD32,11-01-2017,42746,42637,42695,24-09-2016,21-11-2016,1989,19-05-1989,587,0,1,27,0,F,DIDCJK21,109,51
IN,KA,AC,LG,LGAC34,04-01-2017,42739,42700,42730,26-11-2016,26-12-2016,1987,16-03-1987,290,0,0,29,1,M,OHRLJS96,39,9
IN,TL,LCD,SAMSUNG,SAMSUNGLCD12,04-01-2017,42739,42698,42733,24-11-2016,29-12-2016,1985,13-11-1985,191,0,0,31,1,M,LUSMJR74,41,6
IN,TL,LCD,LG,LGLCD32,12-01-2017,42747,42624,42691,11-09-2016,17-11-2016,1981,28-10-1981,24,0,0,35,1,M,RLYYYI23,123,56
IN,WB,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,12-01-2017,42747,42594,42629,12-08-2016,16-09-2016,1996,06-09-1996,440,0,1,20,0,F,YDXPXD73,153,118
IN,MH,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,11-01-2017,42746,42650,42690,07-10-2016,16-11-2016,1993,22-10-1993,59,0,0,23,1,M,QZKZWG39,96,56
IN,MH,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,15-01-2017,42750,42569,42595,18-07-2016,13-08-2016,1983,28-04-1983,423,0,1,33,1,M,IJTVOR89,181,155
IN,TL,Mobile,BLUESTAR,BLUESTARMobile41,03-01-2017,42738,42732,42734,28-12-2016,30-12-2016,1991,28-08-1991,280,0,1,25,0,F,MZRFYC82,6,4
IN,WB,Fridge,LG,LGFridge35,12-01-2017,42747,42689,42743,15-11-2016,08-01-2017,1982,13-04-1982,61,0,0,34,0,F,BJAKOZ29,58,4
IN,MH,AC,BLUESTAR,BLUESTARAC44,08-01-2017,42743,42737,42738,02-01-2017,03-01-2017,1987,19-07-1987,63,0,0,29,0,F,@TSWRS52,6,5
IN,KL,AC,BLUESTAR,BLUESTARAC44,15-01-2017,42750,42616,42721,03-09-2016,17-12-2016,1990,12-04-1990,335,0,0,26,0,F,NNGURH61,134,29
IN,WB,Fridge,SAMSUNG,SAMSUNGFridge15,09-01-2017,42744,42587,42686,05-08-2016,12-11-2016,1989,23-06-1989,563,0,0,27,0,F,LAYHKN95,157,58
IN,TL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,08-01-2017,42743,42609,42630,27-08-2016,17-09-2016,1997,01-05-1997,199,0,0,19,1,M,QSCBFV44,134,113
IN,KL,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,12-01-2017,42747,42717,42725,13-12-2016,21-12-2016,1988,14-08-1988,133,0,0,28,0,F,RQTBCK13,30,22
IN,WB,MICROWAVE,HITACHI,HITACHIMICROWAVE23,10-01-2017,42745,42682,42736,08-11-2016,01-01-2017,1985,25-06-1985,368,0,1,31,0,F,IXMKYI72,63,9
IN,WB,AC,HITACHI,HITACHIAC24,07-01-2017,42742,42665,42702,22-10-2016,28-11-2016,1989,20-09-1989,486,0,1,27,1,M,UEHUBK86,77,40
IN,MH,WASH_MACH,SAMSUNG,SAMSUNGWASH_MACH16,02-01-2017,42737,42645,42670,02-10-2016,27-10-2016,1987,14-06-1987,77,0,0,29,0,F,NHIRZP29,92,67
IN,MH,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,18-01-2017,42753,42700,42736,26-11-2016,01-01-2017,1986,14-08-1986,586,0,1,30,1,M,ZXBLBE79,53,17
IN,WB,MICROWAVE,HITACHI,HITACHIMICROWAVE23,13-01-2017,42748,42710,42719,06-12-2016,15-12-2016,1985,17-03-1985,451,0,1,31,1,M,NODHKD18,38,29
IN,MH,MICROWAVE,LG,LGMICROWAVE33,17-01-2017,42752,42614,42699,01-09-2016,25-11-2016,1988,14-05-1988,170,0,0,28,1,M,HDYTKA43,138,53
IN,TL,LCD,HITACHI,HITACHILCD22,02-01-2017,42737,42676,42684,02-11-2016,10-11-2016,1988,18-10-1988,313,0,1,28,0,F,Y@Z@EA43,61,53
IN,WB,WASH_MACH,HITACHI,HITACHIWASH_MACH26,13-01-2017,42748,42563,42705,12-07-2016,01-12-2016,1986,08-11-1986,2,1,0,30,0,F,CLAEKK89,185,43
IN,KL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,20-01-2017,42755,42719,42724,15-12-2016,20-12-2016,1985,20-09-1985,284,0,0,31,1,M,IBECBH96,36,31
IN,MH,AC,BLUESTAR,BLUESTARAC44,17-01-2017,42752,42614,42654,01-09-2016,11-10-2016,1985,01-03-1985,484,0,0,31,0,F,IQJMKJ91,138,98
IN,KL,Fridge,HITACHI,HITACHIFridge25,07-01-2017,42742,42552,42572,01-07-2016,21-07-2016,1993,12-11-1993,587,0,1,23,1,M,CKKKTG92,190,170
IN,TL,Fridge,SAMSUNG,SAMSUNGFridge15,16-01-2017,42751,42629,42696,16-09-2016,22-11-2016,1986,10-05-1986,91,0,0,30,1,M,LFKD@Q87,122,55
IN,WB,LCD,LG,LGLCD32,01-01-2017,42736,42632,42685,19-09-2016,11-11-2016,1984,24-03-1984,195,0,0,32,1,M,YMZQVV35,104,51
IN,TL,AC,LG,LGAC34,06-01-2017,42741,42738,42739,03-01-2017,04-01-2017,1997,14-05-1997,247,0,1,19,1,M,IFJDUS20,3,2
IN,TL,Fridge,LG,LGFridge35,06-01-2017,42741,42600,42604,18-08-2016,22-08-2016,1985,11-11-1985,155,0,0,31,0,F,DWQHPY64,141,137
IN,TN,AC,HITACHI,HITACHIAC24,13-01-2017,42748,42556,42585,05-07-2016,03-08-2016,1989,16-09-1989,308,0,1,27,1,M,WJPKDY63,192,163
IN,TL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,20-01-2017,42755,42612,42703,30-08-2016,29-11-2016,1982,17-07-1982,258,0,1,34,1,M,AHNCSK75,143,52
IN,WB,AC,SAMSUNG,SAMSUNGAC14,16-01-2017,42751,42689,42695,15-11-2016,21-11-2016,1982,25-11-1982,561,0,0,34,0,F,@KPBIO75,62,56
IN,TN,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,10-01-2017,42745,42646,42704,03-10-2016,30-11-2016,1984,15-10-1984,352,0,0,32,1,M,A@NTQC75,99,41
IN,MH,AC,LG,LGAC34,11-01-2017,42746,42579,42684,28-07-2016,10-11-2016,1989,06-06-1989,108,0,0,27,0,F,QSEOWZ65,167,62
IN,WB,Fridge,LG,LGFridge35,15-01-2017,42750,42551,42589,30-06-2016,07-08-2016,1983,14-03-1983,215,0,1,33,1,M,NTQEUB76,199,161
IN,TL,Mobile,LG,LGMobile31,09-01-2017,42744,42692,42704,18-11-2016,30-11-2016,1991,10-10-1991,319,0,0,25,0,F,TEBWXE85,52,40
IN,KA,Fridge,LG,LGFridge35,10-01-2017,42745,42687,42726,13-11-2016,22-12-2016,1988,03-08-1988,427,0,0,28,0,F,HIAIJG30,58,19
IN,WB,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,02-01-2017,42737,42585,42638,03-08-2016,25-09-2016,1983,20-11-1983,441,0,1,33,1,M,IWYHLT19,152,99
IN,TL,Fridge,BLUESTAR,BLUESTARFridge45,13-01-2017,42748,42679,42702,05-11-2016,28-11-2016,1987,25-09-1987,410,0,1,29,0,F,YJZMSK41,69,46
IN,KL,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,06-01-2017,42741,42681,42694,07-11-2016,20-11-2016,1995,15-05-1995,125,0,0,21,0,F,SUIFSJ85,60,47
IN,KA,Mobile,HITACHI,HITACHIMobile21,04-01-2017,42739,42635,42723,22-09-2016,19-12-2016,1982,07-06-1982,56,0,0,34,1,M,NSGZGZ18,104,16
IN,KA,Fridge,HITACHI,HITACHIFridge25,03-01-2017,42738,42666,42733,23-10-2016,29-12-2016,1984,02-05-1984,381,0,1,32,1,M,VDPUAG61,72,5
IN,TN,MICROWAVE,LG,LGMICROWAVE33,03-01-2017,42738,42667,42728,24-10-2016,24-12-2016,1983,01-03-1983,519,0,0,33,0,F,BWNFIB57,71,10
IN,TL,Fridge,LG,LGFridge35,15-01-2017,42750,42742,42743,07-01-2017,08-01-2017,1994,07-09-1994,500,0,1,22,0,F,RGYGGO95,8,7
IN,WB,Fridge,HITACHI,HITACHIFridge25,18-01-2017,42753,42731,42732,27-12-2016,28-12-2016,1995,07-03-1995,306,0,0,21,1,M,TNPQNE22,22,21
IN,MH,AC,HITACHI,HITACHIAC24,03-01-2017,42738,42718,42723,14-12-2016,19-12-2016,1996,21-04-1996,254,0,0,20,1,M,KQSKTQ92,20,15
IN,WB,LCD,LG,LGLCD32,20-01-2017,42755,42635,42750,22-09-2016,15-01-2017,1996,23-07-1996,389,0,1,20,0,F,AAIPY@81,120,5
IN,TN,AC,HITACHI,HITACHIAC24,11-01-2017,42746,42721,42737,17-12-2016,02-01-2017,1991,01-04-1991,424,0,0,25,0,F,ZINRRU77,25,9
IN,MH,LCD,SAMSUNG,SAMSUNGLCD12,07-01-2017,42742,42589,42627,07-08-2016,14-09-2016,1995,24-03-1995,242,0,0,21,1,M,@TLYVG61,153,115
IN,MH,LCD,HITACHI,HITACHILCD22,04-01-2017,42739,42613,42709,31-08-2016,05-12-2016,1994,17-06-1994,56,0,0,22,0,F,JRXVFO68,126,30
IN,TL,Mobile,LG,LGMobile31,05-01-2017,42740,42713,42727,09-12-2016,23-12-2016,1993,05-08-1993,273,0,1,23,1,M,ARICEW42,27,13
IN,WB,WASH_MACH,HITACHI,HITACHIWASH_MACH26,10-01-2017,42745,42695,42730,21-11-2016,26-12-2016,1981,24-09-1981,415,0,0,35,0,F,YRYUWC47,50,15
IN,TN,AC,SAMSUNG,SAMSUNGAC14,03-01-2017,42738,42562,42610,11-07-2016,28-08-2016,1991,13-11-1991,177,0,0,25,0,F,CTKNIL48,176,128
IN,TN,AC,HITACHI,HITACHIAC24,09-01-2017,42744,42610,42727,28-08-2016,23-12-2016,1990,07-08-1990,175,0,0,26,0,F,AHUHEX53,134,17
IN,KA,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,11-01-2017,42746,42739,42744,04-01-2017,09-01-2017,1995,03-11-1995,221,0,1,21,0,F,ZCTZOM72,7,2
IN,MH,Mobile,BLUESTAR,BLUESTARMobile41,12-01-2017,42747,42673,42692,30-10-2016,18-11-2016,1996,23-06-1996,15,0,0,20,0,F,CLFUCH53,74,55
IN,MH,LCD,HITACHI,HITACHILCD22,04-01-2017,42739,42632,42679,19-09-2016,05-11-2016,1994,02-06-1994,252,0,0,22,0,F,IOEINJ27,107,60
IN,MH,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,13-01-2017,42748,42715,42738,11-12-2016,03-01-2017,1991,16-03-1991,448,0,1,25,1,M,CKVJRL60,33,10
IN,MH,Fridge,HITACHI,HITACHIFridge25,19-01-2017,42754,42683,42697,09-11-2016,23-11-2016,1984,04-03-1984,232,0,1,32,1,M,ZGOJUI19,71,57
IN,TN,Mobile,BLUESTAR,BLUESTARMobile41,11-01-2017,42746,42739,42741,04-01-2017,06-01-2017,1995,17-06-1995,461,0,1,21,0,F,PT@@HE28,7,5
IN,MH,Mobile,BLUESTAR,BLUESTARMobile41,12-01-2017,42747,42679,42687,05-11-2016,13-11-2016,1995,12-05-1995,478,0,1,21,0,F,ZRMRIA78,68,60
IN,KA,LCD,BLUESTAR,BLUESTARLCD42,03-01-2017,42738,42692,42715,18-11-2016,11-12-2016,1995,24-07-1995,204,0,0,21,1,M,XBHCAW17,46,23
IN,WB,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,09-01-2017,42744,42628,42649,15-09-2016,06-10-2016,1985,15-08-1985,384,0,0,31,0,F,V@XEWJ65,116,95
IN,MH,WASH_MACH,SAMSUNG,SAMSUNGWASH_MACH16,11-01-2017,42746,42704,42738,30-11-2016,03-01-2017,1994,23-10-1994,323,0,1,22,0,F,PJVESU29,42,8
IN,MH,Mobile,BLUESTAR,BLUESTARMobile41,13-01-2017,42748,42700,42701,26-11-2016,27-11-2016,1987,01-03-1987,157,0,0,29,0,F,DGTLSU88,48,47
IN,TL,LCD,HITACHI,HITACHILCD22,11-01-2017,42746,42558,42720,07-07-2016,16-12-2016,1982,06-08-1982,371,0,1,34,0,F,AISKSU64,188,26
IN,TN,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,04-01-2017,42739,42546,42725,25-06-2016,21-12-2016,1988,06-09-1988,423,0,1,28,0,F,RXXESO56,193,14
IN,MH,Fridge,HITACHI,HITACHIFridge25,04-01-2017,42739,42564,42691,13-07-2016,17-11-2016,1983,10-05-1983,66,0,0,33,1,M,OHIFPL78,175,48
IN,KA,Fridge,SAMSUNG,SAMSUNGFridge15,02-01-2017,42737,42543,42604,22-06-2016,22-08-2016,1987,07-09-1987,427,0,0,29,0,F,UJXUKY34,194,133
IN,KA,Mobile,SAMSUNG,SAMSUNGMobile11,14-01-2017,42749,42671,42730,28-10-2016,26-12-2016,1981,28-07-1981,413,0,1,35,0,F,FJKEUD41,78,19
IN,MH,Mobile,BLUESTAR,BLUESTARMobile41,12-01-2017,42747,42549,42594,28-06-2016,12-08-2016,1989,03-09-1989,562,0,1,27,0,F,ILDHGW33,198,153
IN,KA,Mobile,HITACHI,HITACHIMobile21,06-01-2017,42741,42722,42731,18-12-2016,27-12-2016,1992,06-04-1992,74,0,0,24,1,M,EPUBIA22,19,10
IN,TL,WASH_MACH,SAMSUNG,SAMSUNGWASH_MACH16,19-01-2017,42754,42675,42713,01-11-2016,09-12-2016,1994,25-08-1994,170,0,0,22,0,F,BGDHQ@62,79,41
IN,TN,Fridge,SAMSUNG,SAMSUNGFridge15,09-01-2017,42744,42584,42608,02-08-2016,26-08-2016,1990,20-04-1990,161,0,0,26,1,M,FFLALQ60,160,136
IN,KL,Fridge,HITACHI,HITACHIFridge25,11-01-2017,42746,42595,42634,13-08-2016,21-09-2016,1984,07-10-1984,540,0,1,32,0,F,XIGODL50,151,112
IN,KL,MICROWAVE,LG,LGMICROWAVE33,04-01-2017,42739,42551,42605,30-06-2016,23-08-2016,1985,14-05-1985,562,0,1,31,0,F,DYODEQ96,188,134
